,Target,AdvTime,AdvLoc,V,Neg,VGram,Adj,Phrasal
1708,2,0,0,821,0,1,0,881
1709,2,0,0,823,0,8,0,880
1710,2,0,0,823,0,8,0,879
1711,2,153,0,825,0,5,0,878
1712,2,0,0,830,0,3,0,877
1713,2,0,0,831,0,8,0,888
1714,2,153,0,834,0,5,0,876
1715,2,0,0,834,0,5,0,874
1716,2,161,0,835,0,5,0,873
1717,2,0,0,835,0,5,0,872
1718,2,105,0,837,0,1,0,871
1719,2,0,0,256,0,5,0,870
1720,2,147,0,707,0,8,0,869
1721,2,0,0,841,0,1,0,868
1722,2,0,0,847,0,3,0,867
1723,2,0,0,443,0,5,0,866
1724,2,105,0,0,0,7,0,865
1725,2,0,0,851,0,5,21,864
1726,2,123,0,373,0,5,0,835
1727,2,0,0,863,0,5,0,861
1728,2,0,0,580,0,5,20,834
1729,2,0,0,46,0,5,0,805
1730,2,0,0,156,0,5,0,803
1731,2,0,0,1204,0,5,0,802
1732,2,0,0,0,0,7,0,801
1733,2,0,0,266,0,7,0,800
1734,2,150,0,777,0,5,0,799
1735,2,150,0,900,0,5,0,798
1736,2,150,0,1100,0,8,0,797
1737,2,0,0,88,0,5,0,796
1738,2,153,0,403,0,5,0,795
1739,2,0,0,655,0,5,0,794
1740,2,0,0,884,0,1,0,793
1741,2,0,0,883,0,1,0,804
1742,2,0,0,378,0,5,0,792
1743,2,0,0,900,0,5,0,790
1744,2,153,0,900,0,5,0,789
1745,2,123,0,900,0,5,0,788
1746,2,0,0,903,0,5,0,787
1747,2,0,0,903,0,5,0,786
1748,2,161,0,905,0,5,0,785
1749,2,0,0,906,0,5,0,784
1750,2,0,0,929,0,8,0,783
1751,2,0,0,1081,0,5,0,782
1752,2,0,0,249,0,3,0,781
1753,2,72,0,1284,0,0,0,780
1754,2,0,0,0,0,7,0,791
1755,2,153,0,1019,0,5,0,806
1756,2,153,0,915,0,5,0,819
1757,2,0,0,563,0,5,0,807
1758,2,0,0,744,0,8,0,831
1759,2,165,0,918,0,5,0,830
1760,2,0,0,919,0,5,0,829
1761,2,105,0,928,0,1,0,828
1762,2,0,0,924,0,1,0,827
1763,2,0,0,0,0,7,0,826
1764,2,0,0,934,0,5,0,825
1765,2,153,0,934,0,5,0,824
1766,2,132,0,934,0,5,0,823
1767,2,0,0,934,0,5,0,822
1768,2,0,0,941,0,5,0,821
1769,2,105,0,945,0,1,0,832
1770,2,0,0,119,0,5,18,820
1771,2,161,0,966,0,5,0,818
1772,2,134,0,969,0,5,0,817
1773,2,0,0,973,0,5,0,816
1774,2,0,0,974,0,5,0,815
1775,2,0,0,998,0,5,0,814
1776,2,0,0,998,0,5,0,813
1777,2,72,0,998,0,5,0,812
1778,2,105,0,987,0,5,0,811
1779,2,0,0,989,0,5,0,810
1780,2,0,0,989,0,5,0,809
1781,2,0,0,990,0,5,0,808
1782,2,0,0,504,0,4,0,667
1783,2,0,0,428,0,5,0,777
1784,2,105,0,1031,0,1,0,666
1785,2,0,0,1031,0,1,0,553
1786,2,0,0,818,0,1,0,523
1787,2,0,0,1034,0,5,0,522
1788,2,0,0,1035,0,1,0,521
1789,2,0,0,1038,0,5,0,520
1790,2,0,0,1041,0,8,0,519
1791,2,0,0,1041,0,8,0,518
1792,2,0,0,1041,0,8,0,517
1793,2,0,0,1047,0,8,0,516
1794,2,0,0,701,0,5,0,515
1795,2,0,0,1124,0,8,0,514
1796,2,0,0,1049,0,5,5,513
1797,2,0,0,1056,0,5,0,524
1798,2,105,0,1055,0,8,0,512
1799,2,152,0,235,0,5,0,510
1800,2,0,0,0,0,7,0,509
1801,2,105,0,1309,0,3,0,508
1802,2,0,0,0,0,7,0,507
1803,2,0,0,949,0,5,0,506
1804,2,0,0,1079,0,1,0,505
1805,2,0,0,1085,0,5,0,504
1806,2,153,0,1089,0,5,0,503
1807,2,32,0,1089,0,5,0,502
1808,2,0,0,1095,0,5,0,501
1809,2,0,0,1096,0,5,0,500
1810,2,0,0,1097,0,5,0,511
1811,2,153,0,1034,0,5,0,526
1812,2,153,0,1082,0,1,0,539
1813,2,127,0,934,0,5,0,527
1814,2,165,0,379,0,5,0,551
1815,2,0,0,900,0,5,0,550
1816,2,0,0,1114,0,5,0,549
1817,2,0,0,0,0,7,0,548
1818,2,161,0,961,0,5,0,547
1819,2,0,0,733,0,5,0,546
1820,2,0,0,171,0,1,0,545
1821,2,0,0,0,0,7,33,544
1822,2,0,0,457,0,4,0,543
1823,2,0,0,215,0,5,0,542
1824,2,50,0,634,0,1,0,541
1825,2,0,0,595,0,5,29,552
1826,2,0,0,920,0,5,0,540
1827,2,153,0,1296,0,5,0,538
1828,2,0,0,1285,0,5,0,537
1829,2,0,0,404,0,5,0,536
1830,2,0,0,148,0,5,0,535
1831,2,0,0,202,0,5,0,534
1832,2,0,0,284,0,5,0,533
1833,2,161,0,0,0,7,0,532
1834,2,0,0,984,0,5,20,531
1835,2,44,0,1128,0,5,0,530
1836,2,0,0,104,0,5,0,529
1837,2,13,0,57,0,5,0,528
1838,2,0,0,320,0,2,0,499
1839,2,0,0,813,0,5,30,525
1840,2,0,0,1335,0,5,0,498
1841,2,0,0,0,0,7,6,0
1842,2,0,0,1138,0,5,0,469
1843,2,0,0,1139,0,5,0,467
1844,2,0,0,1140,0,5,0,466
1845,2,0,0,1347,0,8,0,465
1846,2,105,0,691,0,1,0,464
1847,2,161,0,1088,0,5,0,463
1848,2,161,0,1149,0,5,0,462
1849,2,0,0,1150,0,5,0,461
1850,2,0,0,836,0,5,0,460
1851,2,0,0,871,0,5,0,459
1852,2,0,0,1153,0,5,0,458
1853,2,0,0,1154,0,5,0,457
1854,2,0,0,951,0,8,0,468
1855,2,166,0,1105,0,5,0,456
1856,2,166,0,705,0,5,0,454
1857,2,166,0,169,0,5,0,453
1858,2,166,0,903,0,5,0,452
1859,2,166,0,275,0,8,0,451
1860,2,166,0,796,0,3,0,450
1861,2,166,0,897,0,5,0,449
1862,2,166,0,998,0,5,0,448
1863,2,166,0,1379,0,5,0,447
1864,2,105,0,0,0,7,0,446
1865,2,0,0,1167,0,8,0,445
1866,2,0,0,1043,0,8,0,444
1867,2,0,0,1172,0,8,0,455
1868,2,0,0,132,0,5,0,470
1869,2,0,0,1178,0,5,0,483
1870,2,0,0,1083,0,5,0,471
1871,2,153,0,1044,0,5,0,495
1872,2,0,0,1186,0,1,0,494
1873,2,0,0,1190,0,5,0,493
1874,2,0,0,987,0,5,0,492
1875,2,102,0,1177,0,5,0,491
1876,2,0,0,1194,0,8,0,490
1877,2,0,0,1206,0,3,0,489
1878,2,0,0,1207,0,8,0,488
1879,2,0,0,1215,0,5,0,487
1880,2,0,0,1226,0,5,0,486
1881,2,0,0,1231,0,5,0,485
1882,2,0,0,1232,0,5,0,496
1883,2,0,0,933,0,9,0,484
1884,2,0,0,0,0,7,0,482
1885,2,0,0,0,0,7,0,481
1886,2,105,0,950,0,1,0,480
1887,2,0,0,979,0,3,0,479
1888,2,72,0,649,0,4,0,478
1889,2,161,0,42,0,5,0,477
1890,2,0,0,0,0,7,0,476
1891,2,161,0,379,0,5,0,475
1892,2,0,0,129,0,5,20,474
1893,2,0,0,42,0,5,0,473
1894,2,0,0,76,0,5,0,472
1895,2,153,0,845,0,1,0,497
1896,2,167,0,789,0,5,0,554
1897,2,168,0,972,0,5,0,609
1898,2,0,18,824,0,1,0,555
1899,2,0,0,1017,0,1,0,635
1900,2,105,0,106,0,1,0,634
1901,2,0,0,706,0,3,0,633
1902,2,0,0,1197,0,8,0,632
1903,2,0,0,0,0,7,0,631
1904,2,0,0,1012,0,5,0,630
1905,2,0,0,1149,0,5,0,629
1906,2,0,0,1272,0,5,0,628
1907,2,0,0,542,0,8,0,627
1908,2,0,0,517,0,1,0,626
1909,2,0,0,1034,0,5,0,625
1910,2,0,0,64,0,5,0,636
1911,2,105,0,26,0,1,0,624
1912,2,0,0,0,0,7,0,622
1913,2,0,0,905,0,5,0,621
1914,2,0,0,14,0,5,0,620
1915,2,161,0,1120,0,5,0,619
1916,2,0,0,873,0,5,0,618
1917,2,0,0,42,0,5,0,617
1918,2,0,0,64,0,5,0,616
1919,2,0,0,1020,0,5,0,615
1920,2,0,0,748,0,5,0,614
1921,2,0,0,802,0,1,0,613
1922,2,153,0,748,0,5,0,612
1923,2,0,0,1286,0,5,0,623
1924,2,0,0,1289,0,1,0,638
1925,2,108,0,1294,0,8,0,651
1926,2,0,0,1296,0,5,0,639
1927,2,0,0,1296,0,5,0,663
1928,2,0,0,1297,0,5,0,662
1929,2,0,0,115,0,5,0,661
1930,2,105,0,928,0,1,0,660
1931,2,0,0,194,0,5,0,659
1932,2,0,0,502,0,4,0,658
1933,2,0,0,1327,0,9,0,657
1934,2,0,0,1330,0,5,0,656
1935,2,0,0,1333,0,5,0,655
1936,2,0,0,1338,0,5,0,654
1937,2,0,0,786,0,1,0,653
1938,2,0,0,778,0,3,0,664
1939,2,0,0,875,0,5,0,652
1940,2,171,0,730,0,5,0,650
1941,2,172,0,737,0,5,0,649
1942,2,173,0,1339,0,5,0,648
1943,2,0,0,838,0,3,0,647
1944,2,0,0,812,0,5,0,646
1945,2,61,0,202,0,5,20,645
1946,2,0,0,1360,0,8,0,644
1947,2,161,0,840,0,5,0,643
1948,2,0,0,401,0,3,0,642
1949,2,0,0,925,0,1,0,641
1950,2,0,0,1029,0,5,0,640
1951,2,153,0,238,0,3,0,611
1952,2,153,0,198,0,8,0,637
1953,2,0,0,0,0,7,0,610
1954,2,179,0,1021,0,5,0,581
1955,2,179,0,591,0,5,0,579
1956,2,0,0,860,0,5,0,578
1957,2,127,0,1296,0,5,0,577
1958,2,0,0,996,0,5,0,576
1959,2,0,0,98,0,5,0,575
1960,2,0,0,900,0,5,0,574
1961,2,0,0,1376,0,5,0,573
1962,2,0,0,247,0,5,0,572
1963,2,0,0,0,0,7,0,571
1964,2,0,0,0,0,7,0,570
1965,2,0,0,186,0,8,0,569
1966,2,0,0,1037,0,1,0,580
1967,2,0,0,1149,0,5,0,568
1968,2,0,0,3,0,8,0,566
1969,2,105,0,35,0,1,0,565
1970,2,0,0,35,0,1,0,564
1971,2,0,0,42,0,5,0,563
1972,2,72,0,57,0,5,0,562
1973,2,0,0,824,0,1,0,561
1974,2,153,0,147,0,5,0,560
1975,2,0,0,155,0,5,0,559
1976,2,153,0,202,0,5,0,558
1977,2,0,0,215,0,5,0,557
1978,2,0,0,656,0,8,0,556
1979,2,105,0,832,0,1,0,567
1980,2,0,0,304,0,5,0,582
1981,2,0,0,337,0,5,0,595
1982,2,123,0,353,0,5,0,583
1983,2,0,0,997,0,1,0,607
1984,2,0,0,1345,0,5,0,606
1985,2,0,0,0,0,7,0,605
1986,2,0,0,593,0,5,30,604
1987,2,0,0,639,0,5,27,603
1988,2,161,0,678,0,5,0,602
1989,2,161,0,636,0,8,0,601
1990,2,144,0,737,0,5,0,600
1991,2,0,0,737,0,5,0,599
1992,2,0,0,774,0,5,0,598
1993,2,0,0,788,0,5,0,597
1994,2,0,0,862,0,5,0,608
1995,2,0,0,893,0,5,0,596
1996,2,161,0,895,0,5,0,594
1997,2,0,0,1030,0,5,0,593
1998,2,123,0,1034,0,5,0,592
1999,2,0,0,1034,0,5,0,591
2000,2,161,0,1046,0,8,0,590
2001,2,0,0,393,0,8,0,589
2002,2,153,0,1138,0,5,0,588
2003,2,105,0,1148,0,1,0,587
2004,2,0,0,378,0,5,0,586
2005,2,0,0,1241,0,5,0,585
2006,2,123,0,1211,0,5,0,584
2007,2,0,0,1296,0,5,0,1528
2008,2,0,0,1298,0,5,0,1784
